spec,exposure_period,period_type,term,year,reference_year,estimate,std.error,statistic,p.value,n_obs,n_cz
full_controls,1990-2000,medium_run,exposure_1990_2000_x_2012,2012,1988,-0.007126780575313189,0.006423965071942398,-1.10940524979509,0.267625288044687,9386,722
full_controls,1990-2000,medium_run,exposure_1990_2000_x_2016,2016,1988,-0.002390483046026303,0.006751734750662928,-0.35405464436996587,0.7234014461879859,9386,722
full_controls,1990-2000,long_run,exposure_1990_2000_x_2020,2020,1988,-0.004822009277087043,0.006773055124016943,-0.7119400608432108,0.4767321872091679,9386,722
full_controls,2000-2007,placebo_pre_shock,exposure_2000_2007_x_1972,1972,1988,0.005205597253820641,0.0031814976573881462,1.6362096768269134,0.10223212166391374,9386,722
full_controls,2000-2007,placebo_pre_shock,exposure_2000_2007_x_1976,1976,1988,7.169256169892863e-5,0.005094749902018922,0.014071851038363758,0.9887765506632593,9386,722
full_controls,2000-2007,placebo_pre_shock,exposure_2000_2007_x_1980,1980,1988,8.647738345920579e-4,0.00497827871998481,0.1737094050440584,0.8621426041725215,9386,722
full_controls,2000-2007,placebo_pre_shock,exposure_2000_2007_x_1984,1984,1988,4.348769681437152e-4,0.0021079172670531196,0.206306468921181,0.8366097682064966,9386,722
full_controls,2000-2007,during_or_immediate_post_shock,exposure_2000_2007_x_1992,1992,1988,0.0016359418921821807,0.0022437749910684084,0.7291024718138968,0.46617575169314507,9386,722
full_controls,2000-2007,during_or_immediate_post_shock,exposure_2000_2007_x_1996,1996,1988,0.006664357768778516,0.003309512768791545,2.013697554402239,0.044412349609549324,9386,722
full_controls,2000-2007,during_or_immediate_post_shock,exposure_2000_2007_x_2000,2000,1988,0.006625086712053831,0.00453261051747581,1.461649238669488,0.14427303985518058,9386,722
full_controls,2000-2007,during_or_immediate_post_shock,exposure_2000_2007_x_2004,2004,1988,0.0037120647891017607,0.0034627291452264163,1.072005528996996,0.2840762361771594,9386,722
full_controls,2000-2007,during_or_immediate_post_shock,exposure_2000_2007_x_2008,2008,1988,0.0053485327010050245,0.003882528340085599,1.3775901249151228,0.16875732147499906,9386,722
full_controls,2000-2007,medium_run,exposure_2000_2007_x_2012,2012,1988,0.006215647645918886,0.0044329177455261935,1.402157225270391,0.1612986829433782,9386,722
full_controls,2000-2007,medium_run,exposure_2000_2007_x_2016,2016,1988,0.0033683960856282953,0.004651293130800288,0.7241848644892305,0.46918716230102797,9386,722
full_controls,2000-2007,long_run,exposure_2000_2007_x_2020,2020,1988,0.004336411871743405,0.00424486070942803,1.021567530381394,0.30732827364869986,9386,722
