sample,spec,se_type,eigen_index,eigenvalue
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,8,8.613153387273062e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,9,8.316396239622669e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,10,7.866405192200907e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,11,7.441480221712557e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,12,6.73601470509401e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,13,6.102919578315767e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,14,5.9060391313343376e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,15,5.121070583771106e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,16,4.296457628691928e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,17,4.054788256343926e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,18,3.7526977837066445e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,19,3.2404007025877286e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,20,2.9612013688234462e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,21,2.5606827931870314e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,22,2.144081672136044e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,23,2.1097216657886576e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,24,1.819855223796632e-5
main_1972_start,interacted_core_controls_diagnostic,newey_west_lag1,25,1.603654049602617e-5
