outcome,spec,sample,se_type,term,year,reference_year,estimate,std.error,statistic,p.value,n_obs,n_cz,controls,outcome_label,spec_label
pres_rep_ratio,minimal,nanda_2004_2022,cluster_cz,es_2016,2016,2004,0.004407025905419951,0.0020125484968969358,2.189773768043334,0.02886037313605868,3610,722,none,Presidential Republican ratio,Minimal
pres_rep_ratio,minimal,nanda_2004_2022,cluster_cz,es_2020,2020,2004,0.004351278513425385,0.001709834811462505,2.5448531543836825,0.011139675641293378,3610,722,none,Presidential Republican ratio,Minimal
pres_rep_ratio,core_controls,nanda_2004_2022,cluster_cz,es_2008,2008,2004,0.0019577191943018863,8.035288252873196e-4,2.4364019468770897,0.015075215801988213,3610,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Presidential Republican ratio,Core controls
pres_rep_ratio,core_controls,nanda_2004_2022,cluster_cz,es_2012,2012,2004,0.0018824041827609607,8.61244314190346e-4,2.185679663418858,0.02916004662396606,3610,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Presidential Republican ratio,Core controls
pres_rep_ratio,core_controls,nanda_2004_2022,cluster_cz,es_2016,2016,2004,0.001816311713824886,9.648039188409687e-4,1.8825708295285997,0.06016098448794241,3610,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Presidential Republican ratio,Core controls
pres_rep_ratio,core_controls,nanda_2004_2022,cluster_cz,es_2020,2020,2004,0.0014585691241128717,0.0010747504467577124,1.3571235336659375,0.17516664494090808,3610,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Presidential Republican ratio,Core controls
pres_rep_ratio,full_controls,nanda_2004_2022,cluster_cz,es_2008,2008,2004,0.0022123951228388483,8.879557325119274e-4,2.491560155347193,0.01294202712695615,3610,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Presidential Republican ratio,Full controls
pres_rep_ratio,full_controls,nanda_2004_2022,cluster_cz,es_2012,2012,2004,0.001975719877631508,9.362920232483551e-4,2.1101534869185152,0.03518903897502178,3610,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Presidential Republican ratio,Full controls
pres_rep_ratio,full_controls,nanda_2004_2022,cluster_cz,es_2016,2016,2004,0.002354012052962804,0.001036696480658933,2.2706858727508887,0.023460161097051412,3610,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Presidential Republican ratio,Full controls
pres_rep_ratio,full_controls,nanda_2004_2022,cluster_cz,es_2020,2020,2004,0.0020144191962061034,0.001168296871890402,1.724235718398017,0.08509392223413853,3610,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Presidential Republican ratio,Full controls
pres_dem_ratio,minimal,nanda_2004_2022,cluster_cz,es_2008,2008,2004,-0.001241687623024455,7.344232974001898e-4,-1.690697486612894,0.09132679885530491,3610,722,none,Presidential Democratic ratio,Minimal
pres_dem_ratio,minimal,nanda_2004_2022,cluster_cz,es_2012,2012,2004,-0.0017527703096047662,9.9115429155964e-4,-1.7684131769703364,0.0774146595775623,3610,722,none,Presidential Democratic ratio,Minimal
pres_dem_ratio,minimal,nanda_2004_2022,cluster_cz,es_2016,2016,2004,-0.004407025905419942,0.0020125484968969458,-2.189773768043319,0.028860373136059797,3610,722,none,Presidential Democratic ratio,Minimal
pres_dem_ratio,minimal,nanda_2004_2022,cluster_cz,es_2020,2020,2004,-0.004351278513425385,0.001709834811462513,-2.5448531543836705,0.01113967564129376,3610,722,none,Presidential Democratic ratio,Minimal
pres_dem_ratio,core_controls,nanda_2004_2022,cluster_cz,es_2008,2008,2004,-0.0019577191943018933,8.035288252873187e-4,-2.436401946877101,0.01507521580198772,3610,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Presidential Democratic ratio,Core controls
