year,state_fips,state,scope,rep_votes,dem_votes,twoparty_votes,total_votes,source_counties
1972,17,IL,pre_bridge,2788179,1913472,4701651,4723236,102
1972,18,IN,pre_bridge,1405154,708568,2113722,2125529,92
1972,19,IA,pre_bridge,706207,496206,1202413,1225944,99
1972,20,KS,pre_bridge,619812,270287,890099,916095,105
1972,21,KY,pre_bridge,676446,371159,1047605,1067499,120
1972,22,LA,pre_bridge,686852,298142,984994,1051491,64
1972,23,ME,pre_bridge,256458,160584,417042,417271,16
1972,24,MD,pre_bridge,829305,505781,1335086,1353812,24
1972,25,MA,pre_bridge,1112078,1332540,2444618,2458756,14
1972,26,MI,pre_bridge,1961721,1459435,3421156,3490325,83
1972,27,MN,pre_bridge,898269,802346,1700615,1741652,87
1972,28,MS,pre_bridge,505125,126782,631907,645963,82
1972,29,MO,pre_bridge,1153852,697147,1850999,2275947,115
1972,30,MT,pre_bridge,183976,120197,304173,317603,56
1972,31,NE,pre_bridge,406298,169991,576289,576289,93
1972,32,NV,pre_bridge,115750,66016,181766,181766,17
1972,33,NH,pre_bridge,213724,116435,330159,334059,10
1972,34,NJ,pre_bridge,1845502,1102211,2947713,2997229,21
1972,35,NM,pre_bridge,235606,141084,376690,385931,32
1972,36,NY,pre_bridge,4192778,2951084,7143862,7161830,62
1972,37,NC,pre_bridge,1054889,438705,1493594,1518612,100
1972,38,ND,pre_bridge,174109,100384,274493,280514,53
1972,39,OH,pre_bridge,2441827,1558889,4000716,4094787,88
1972,40,OK,pre_bridge,759025,247147,1006172,1029900,77
1972,41,OR,pre_bridge,486686,392760,879446,927946,36
1972,42,PA,pre_bridge,2714521,1796951,4511472,4592106,67
1972,44,RI,pre_bridge,220383,194645,415028,415808,5
1972,45,SC,pre_bridge,478427,189270,667697,677863,46
1972,46,SD,pre_bridge,166476,139945,306421,307436,67
1972,47,TN,pre_bridge,813147,357293,1170440,1201182,95
1972,48,TX,pre_bridge,2298896,1154291,3453187,3472714,254
1972,49,UT,pre_bridge,323643,126284,449927,478476,29
1972,50,VT,pre_bridge,117149,68174,185323,186946,14
1972,51,VA,pre_bridge,982726,434958,1417684,1447053,133
1972,53,WA,pre_bridge,837135,568334,1405469,1470847,39
1972,54,WV,pre_bridge,484964,277435,762399,762399,55
1972,55,WI,pre_bridge,989430,810174,1799604,1851997,72
1972,56,WY,pre_bridge,100464,44358,144822,145570,23
1976,01,AL,pre_bridge,504070,659170,1163240,1182542,67
1976,04,AZ,pre_bridge,418642,295602,714244,742719,14
1976,05,AR,pre_bridge,268753,499614,768367,769396,75
1976,06,CA,pre_bridge,3882244,3742284,7624528,7867117,58
1976,08,CO,pre_bridge,584367,460353,1044720,1081135,63
1976,09,CT,pre_bridge,719261,647895,1367156,1376046,8
1976,10,DE,pre_bridge,109831,122596,232427,235834,3
1976,11,DC,pre_bridge,27873,137818,165691,168830,1
1976,12,FL,pre_bridge,1469531,1636000,3105531,3150631,67
1976,13,GA,pre_bridge,483743,979409,1463152,1463152,159
1976,15,HI,pre_bridge,140003,147375,287378,291301,4
1976,16,ID,pre_bridge,204151,126549,330700,340932,44
1976,17,IL,pre_bridge,2364269,2271295,4635564,4718833,102
1976,18,IN,pre_bridge,1183958,1014714,2198672,2220362,92
1976,19,IA,pre_bridge,632863,619931,1252794,1279306,99
1976,20,KS,pre_bridge,502752,430421,933173,957845,105
1976,21,KY,pre_bridge,531852,615717,1147569,1167142,120
1976,22,LA,pre_bridge,587446,661365,1248811,1278439,64
1976,23,ME,pre_bridge,236320,232279,468599,483208,16
1976,24,MD,pre_bridge,672661,759612,1432273,1432273,24
1976,25,MA,pre_bridge,1030276,1429475,2459751,2547558,14
1976,26,MI,pre_bridge,1893742,1696714,3590456,3653749,83
1976,27,MN,pre_bridge,819395,1070440,1889835,1949589,87
1976,28,MS,pre_bridge,366845,381309,748154,769363,82
1976,29,MO,pre_bridge,927443,998387,1925830,2385039,115
1976,30,MT,pre_bridge,173703,149259,322962,328734,56
1976,31,NE,pre_bridge,359705,233692,593397,607668,93
1976,32,NV,pre_bridge,101273,92479,193752,201876,17
1976,33,NH,pre_bridge,185935,147635,333570,339618,10
1976,34,NJ,pre_bridge,1509688,1444653,2954341,3014472,21
1976,35,NM,pre_bridge,211419,201148,412567,416590,32
1976,36,NY,pre_bridge,3100791,3389558,6490349,6534420,62
1976,37,NC,pre_bridge,741960,927365,1669325,1677906,100
